FAM	Age	pheL
F34_M42	140	3.98
F36_M44	119	3.04
F34_M42	140	4.66
F52_M63	119	2.42
F42_M48	119	3.12
F36_M44	119	3.6
F34_M42	140	3.91
F46_M50	119	3.69
F36_M44	119	3.21
F48_M59	119	4.62
F16_M20	151	4.47
F34_M42	140	3.7
F41_M47	119	3.36
F36_M44	119	3.21
F16_M20	151	3.31
F55_M66	119	3.6
F36_M44	119	4.13
F36_M44	119	3.73
F40_M46	119	2.75
F36_M44	119	2.55
F4_M6	151	4.43
F42_M48	119	4.89
F42_M48	119	4.88
F16_M20	151	4.9
F34_M42	140	4.75
F6_M8	151	4.81
F35_M43	140	5.15
F16_M20	151	4.89
F55_M66	119	4.92
F55_M66	119	7.18
F18_M21	151	5.39
F35_M43	140	6.08
F6_M8	151	4.74
F42_M48	119	7.2
F35_M43	140	6.35
F45_M49	119	6.59
F58_M68	119	6
F16_M20	151	6.28
F49_M60	119	5.35
F40_M3	119	5.36
F4_M6	151	6.3
F1_M3	151	6.11
F46_M50	119	5.46
F56_M67	119	6.88
F6_M8	151	5.51
F49_M60	119	6.14
F36_M44	119	6.53
F19_M23	151	5.83
F45_M49	119	6.44
F52_M63	119	7
F48_M59	119	7.09
F33_M41	140	5.79
F16_M20	151	6.23
F35_M43	140	5.88
F6_M8	151	5.81
F34_M42	140	2.72
F19_M23	151	5.65
F40_M46	119	5.16
F46_M50	119	6.33
F46_M50	119	6.42
F48_M59	119	6.77
F35_M43	140	5.96
F34_M42	140	4.2
F45_M49	119	6.58
F18_M21	151	6.65
F40_M46	119	5.5
F6_M8	151	5.39
F6_M8	151	5.27
F1_M3	151	6.41
F56_M67	119	6.42
F6_M8	151	6.87
F33_M41	140	6.25
F35_M43	140	5.76
F49_M60	119	5.52
F6_M8	151	6.24
F16_M20	151	6.83
F52_M63	119	6.73
F16_M20	151	5.16
F36_M44	119	6.24
F16_M20	151	4.79
F40_M46	119	6.54
F45_M49	119	5.71
F48_M59	119	5.97
F55_M66	119	5.9
F55_M66	119	6.42
F16_M20	151	6.69
F6_M8	151	5.98
F19_M23	151	5.12
F46_M50	119	6.83
F6_M8	151	5.37
F55_M66	119	5.94
F46_M50	119	6.42
F16_M20	151	6.74
F51_M62	119	6.62
F18_M21	151	6.94
F6_M8	151	15.76
F1_M3	151	10.71
F2_M4	151	10.68
F52_M63	119	7.92
F6_M8	151	12.92
F46_M50	119	6.89
F56_M67	119	8.52
F12_M15	151	9.78
F2_M4	151	13.26
F52_M63	119	12.9
F16_M20	151	3.27
F1_M3	151	13.33
F6_M8	151	12.54
F48_M59	119	7.51
F6_M8	151	13.65
F48_M59	119	3.86
F9_M11	151	13.08
F58_M68	119	12.05
F1_M3	151	13.87
F55_M66	119	12.86
F58_M68	119	8.25
F6_M8	151	14.03
F6_M8	151	12.11
F4_M6	151	11.42
F58_M68	119	7.75
F49_M60	119	9.82
F55_M66	119	12.88
F6_M8	151	11.7
F1_M3	151	12.2
F1_M3	151	12.51
F1_M3	151	13.43
F58_M68	119	7.76
F6_M8	151	8.77
F46_M50	119	10.16
F52_M63	119	8.55
F56_M67	119	9.73
F4_M6	151	9.36
F2_M4	151	11.3
F6_M8	151	13.7
F56_M67	119	10.19
F36_M44	119	4.03
F19_M23	151	10.43
F6_M8	151	10.31
F40_M3	119	8.2
F30_M36	151	9.52
F52_M63	119	10.35
F48_M59	119	11.86
F6_M8	151	10.86
F45_M49	119	10.03
F6_M8	151	13.98
F58_M68	119	10.82
F6_M8	151	9.04
F55_M66	119	8.17
F1_M3	151	12.73
F1_M3	151	10.42
F6_M8	151	8.61
F6_M8	151	7.27
F16_M20	151	7.5
F55_M66	119	8.67
F46_M50	119	3.97
F56_M67	119	11.82
F56_M67	119	11.35
F6_M8	151	11.4
F51_M62	119	9.17
F49_M60	119	7.62
F52_M63	119	9.58
F56_M67	119	12.02
F4_M6	151	12.75
F16_M20	151	3.9
F6_M8	151	9.17
F2_M4	151	13.08
F1_M3	151	10.11
F52_M63	119	11.26
F52_M63	119	8.86
F9_M11	151	13.93
F58_M68	119	9.59
F58_M68	119	9.32
F6_M8	151	10.86
F4_M6	151	12.6
F6_M8	151	8.27
F6_M8	151	12.67
F16_M20	151	8.08
F50_M61	119	9.82
F35_M43	140	3.47
F1_M3	151	10.62
F27_M32	151	11.2
F51_M62	119	8.27
F52_M63	119	9.24
F1_M3	151	9.42
F52_M63	119	10.29
F58_M68	119	7.89
F1_M3	151	10.41
F18_M21	151	3.19
F27_M32	151	8.82
F1_M3	151	12.88
F18_M21	151	9.23
F4_M6	151	10.01
F1_M3	151	10.43
F6_M8	151	14.59
F55_M66	119	3.19
F1_M3	151	12.21
F1_M11	151	11.36
F1_M3	151	10.02
F6_M8	151	12.9
F16_M20	151	9.73
F6_M8	151	12.51
F6_M8	151	13.13
F6_M8	151	11.77
F56_M67	119	10.07
F6_M8	151	10.24
F58_M68	119	11.91
F6_M8	151	13.73
F56_M67	119	11.17
F6_M8	151	12.41
F6_M8	151	13.99
F52_M63	119	9.47
F6_M8	151	8.25
F6_M8	151	7.1
F1_M3	151	13.69
F27_M32	151	12.59
F6_M8	151	9.8
F55_M66	119	8.49
F48_M59	119	12
F6_M8	151	11.87
F27_M32	151	10.16
F6_M8	151	13.68
F56_M67	119	9.54
F4_M6	151	11.73
F1_M3	151	10
F6_M8	151	11.62
F48_M59	119	9.33
F1_M3	151	12.15
F56_M67	119	8.66
F6_M8	151	11.9
F46_M50	119	9.71
F6_M8	151	12.06
F6_M8	151	8.34
F9_M11	151	8.68
F6_M8	151	12.27
F58_M68	119	11.42
F1_M3	151	12.76
F6_M8	151	10.86
F46_M50	119	8.93
F55_M66	119	10.3
F1_M3	151	9.01
F58_M68	119	15.11
F50_M61	119	3.47
F18_M21	151	7.03
F4_M6	151	9.3
F19_M23	151	11.13
F6_M8	151	12.79
F6_M8	151	10.74
F6_M8	151	12.05
F6_M8	151	8.68
F6_M8	151	15.97
F6_M8	151	14.84
F48_M8	119	9.65
F58_M68	119	10.25
F6_M8	151	10.8
F2_M4	151	12.3
F1_M3	151	12.56
F6_M8	151	14.05
F49_M60	119	13.35
F6_M8	151	8.78
F55_M66	119	12.59
F35_M43	140	9.31
F6_M8	151	12.07
F1_M3	151	9.15
F46_M50	119	12.38
F1_M3	151	13.88
F1_M3	151	12.23
F1_M3	151	8.02
F6_M8	151	10.56
F49_M60	119	9.91
F16_M20	151	10.21
F46_M50	119	8.93
F1_M3	151	9.82
F6_M8	151	11.81
F2_M4	151	13.3
F58_M68	119	8.44
F16_M20	151	12.98
F48_M59	119	9.38
F1_M3	151	11.19
F27_M32	151	7.98
F6_M8	151	9.78
F34_M42	140	7.97
F6_M8	151	8.59
F1_M3	151	11.39
F4_M6	151	9.3
F1_M3	151	7.97
F58_M68	119	10.28
F1_M3	151	10.62
F46_M50	119	11.23
F16_M20	151	10.34
F16_M20	151	7.44
F36_M44	119	8.15
F9_M11	151	9.26
F52_M63	119	10.17
F16_M20	151	8.85
F55_M66	119	8.44
F6_M8	151	10.15
F61_M50	119	2.77
F55_M66	119	3.55
F55_M66	119	3.26
F49_M60	119	4.43
F49_M60	119	3.72
F46_M50	119	2.98
F16_M20	151	3.68
F16_M20	151	5.43
F4_M6	151	5.8
F16_M20	151	5.68
F50_M61	119	5.68
F4_M6	151	5.95
F6_M8	151	6.14
F48_M59	119	6.35
F48_M59	119	5.43
F16_M20	151	6.5
F56_M67	119	6.69
F1_M3	151	6.62
F56_M67	119	5.57
F34_M42	140	5.78
F1_M3	151	5.85
F6_M8	151	6.35
F36_M44	119	5.73
F33_M41	140	5.49
F49_M60	119	6.24
F19_M23	151	5.95
F16_M20	151	5.96
