FAM	IND	Sex	Age	PheL
A	F01_I01	F	455	66.3
A	F01_I02	F	455	62.4
A	F01_I03	F	455	58.4
A	F01_I04	F	455	68.2
A	F01_I05	F	455	64
A	F01_I07	F	455	58.4
A	F01_I08	F	455	61.4
A	F01_I09	F	455	63.9
A	F01_I11	F	455	70.8
A	F01_I12	F	455	75.3
A	F01_I13	F	455	64.9
B	F02_I01	F	509	49.7
B	F02_I02	F	509	51.2
B	F02_I03	F	509	47.7
B	F02_I04	F	509	54.4
B	F02_I05	F	509	54.7
B	F02_I06	F	509	49.1
B	F02_I07	F	509	50.4
B	F02_I08	F	509	49.2
B	F02_I09	F	509	50.2
B	F02_I10	F	509	54.2
B	F02_I11	F	509	50.2
B	F02_I12	F	509	49.8
C	F03_I01	F	487	53.7
C	F03_I02	F	487	56
C	F03_I05	F	487	50.4
C	F03_I06	F	487	60.5
C	F03_I07	F	487	57.5
C	F03_I08	F	487	59.1
C	F03_I09	F	487	55.9
C	F03_I10	F	487	60.6
C	F03_I11	F	487	58
C	F03_I12	F	487	57.2
C	F03_I13	F	487	62.9
C	F03_I14	F	487	60.3
C	F03_I15	F	487	49.9
D	F04_I01	F	460	49
D	F04_I02	F	460	48.8
D	F04_I03	F	460	57.4
D	F04_I04	F	460	49.1
D	F04_I05	F	460	44.2
D	F04_I06	F	460	53.5
D	F04_I07	F	460	51.9
D	F04_I09	F	460	54.3
D	F04_I10	F	460	59.6
D	F04_I11	F	460	55.3
D	F04_I12	F	460	52.7
D	F04_I13	F	460	59.2
E	F05_I01	F	395	52
E	F05_I02	F	395	56.2
E	F05_I03	F	395	47.6
E	F05_I04	F	395	56.1
E	F05_I05	F	395	51.7
E	F05_I06	F	395	59
E	F05_I07	F	395	55.8
E	F05_I08	F	395	60.4
E	F05_I09	F	395	57.4
E	F05_I10	F	395	53.8
E	F05_I11	F	395	58
E	F05_I12	F	395	56.8
F	F06_I01	F	461	47.4
F	F06_I02	F	461	53.4
F	F06_I03	F	461	49.2
F	F06_I04	F	461	53.6
F	F06_I05	F	461	53.5
F	F06_I06	F	461	59.2
F	F06_I07	F	461	49.2
F	F06_I08	F	461	53.2
F	F06_I09	F	461	49.8
F	F06_I10	F	461	52.4
F	F06_I11	F	461	54.9
F	F06_I12	F	461	52.2
G	F07_I01	F	460	51.9
G	F07_I02	F	460	50
G	F07_I03	F	460	53.2
G	F07_I04	F	460	54.4
G	F07_I05	F	460	49.2
G	F07_I06	F	460	53.8
G	F07_I07	F	460	54.7
G	F07_I08	F	460	56.2
G	F07_I09	F	460	56
G	F07_I10	F	460	54
G	F07_I11	F	460	53.5
G	F07_I12	F	460	53.2
H	F08_I01	F	395	50.5
H	F08_I02	F	395	51.5
H	F08_I03	F	395	52.6
H	F08_I04	F	395	54.8
H	F08_I05	F	395	54.6
H	F08_I06	F	395	56.2
H	F08_I07	F	395	51
H	F08_I08	F	395	54.9
H	F08_I09	F	395	54.2
H	F08_I10	F	395	54.5
H	F08_I13	F	395	54.2
H	F08_I14	F	395	52.5
H	F08_I15	F	395	48.3
I	F09_I01	F	395	52.4
I	F09_I02	F	395	58.1
I	F09_I03	F	395	49.3
I	F09_I06	F	395	53.7
I	F09_I07	F	395	51.7
I	F09_I08	F	395	52.7
I	F09_I09	F	395	55.9
I	F09_I10	F	395	57.6
I	F09_I11	F	395	53.7
I	F09_I12	F	395	54
I	F09_I13	F	395	47.2
I	F09_I14	F	395	53.2
I	F09_I15	F	395	54.5
J	F10_I01	F	487	61.3
J	F10_I02	F	487	57.9
J	F10_I06	F	487	60.9
J	F10_I07	F	487	60.9
J	F10_I08	F	487	53.6
J	F10_I09	F	487	60.7
J	F10_I10	F	487	59
J	F10_I11	F	487	59
J	F10_I12	F	487	64
J	F10_I13	F	487	59.4
J	F10_I14	F	487	58.6
J	F10_I15	F	487	64.2
K	F11_I01	F	486	64.2
K	F11_I04	F	486	56.2
K	F11_I05	F	486	60.2
K	F11_I06	F	486	49.2
K	F11_I07	F	486	62.5
K	F11_I08	F	486	59.5
K	F11_I09	F	486	57.2
K	F11_I10	F	486	56.9
K	F11_I11	F	486	52.3
K	F11_I12	F	486	59.9
K	F11_I13	F	486	61
K	F11_I14	F	486	57.3
K	F11_I15	F	486	59.4
L	F12_I02	F	547	56
L	F12_I03	F	547	59.6
L	F12_I04	F	547	53.3
L	F12_I05	F	547	50.2
L	F12_I06	F	547	49.2
L	F12_I08	F	547	56.7
L	F12_I09	F	547	54.9
L	F12_I10	F	547	51.4
L	F12_I11	F	547	50.6
L	F12_I12	F	547	49.5
L	F12_I13	F	547	49.7
L	F12_I15	F	547	56.7
M	F13_I01	F	527	56.4
M	F13_I02	F	527	54.7
M	F13_I03	F	527	60.2
M	F13_I04	F	527	66.9
M	F13_I05	F	527	63.6
M	F13_I06	F	527	62.7
M	F13_I07	F	527	54.9
M	F13_I08	F	527	60.1
M	F13_I10	F	527	59.1
M	F13_I11	F	527	64.2
M	F13_I12	F	527	52.6
M	F13_I13	F	527	63.5
M	F13_I15	F	527	56.4
N	F14_I01	F	426	61.3
N	F14_I03	F	426	54.2
N	F14_I04	F	426	64.9
N	F14_I05	F	426	71.5
N	F14_I06	F	426	60.8
N	F14_I07	F	426	64.9
N	F14_I08	F	426	63.7
N	F14_I09	F	426	62.1
N	F14_I11	F	426	70.3
N	F14_I12	F	426	66.2
N	F14_I13	F	426	66
N	F14_I14	F	426	69.3
O	F15_I01	M	516	58.1
O	F15_I02	M	516	54.1
O	F15_I03	M	516	51.2
O	F15_I04	M	516	53.8
O	F15_I05	M	516	55.1
O	F15_I06	M	516	56.4
O	F15_I07	M	516	59.9
O	F15_I08	M	516	57.7
O	F15_I12	M	516	58
O	F15_I13	M	516	53.6
O	F15_I14	M	516	62.7
O	F15_I15	M	516	55.1
P	F16_I01	M	507	49.5
P	F16_I02	M	507	51.9
P	F16_I03	M	507	53.3
P	F16_I04	M	507	50.2
P	F16_I05	M	507	55.8
P	F16_I06	M	507	48.8
P	F16_I08	M	507	51.6
P	F16_I09	M	507	50.5
P	F16_I10	M	507	51.7
P	F16_I11	M	507	53.7
P	F16_I12	M	507	51.6
P	F16_I14	M	507	51.4
Q	F17_I01	M	395	51.5
Q	F17_I03	M	395	58.4
Q	F17_I04	M	395	59.8
Q	F17_I05	M	395	59.6
Q	F17_I06	M	395	56.1
Q	F17_I07	M	395	55.3
Q	F17_I08	M	395	54.9
Q	F17_I09	M	395	56.8
Q	F17_I10	M	395	59.4
Q	F17_I11	M	395	62.1
Q	F17_I13	M	395	61.1
Q	F17_I15	M	395	49.7
R	F18_I01	M	514	56.9
R	F18_I02	M	514	54.6
R	F18_I03	M	514	44.2
R	F18_I06	M	514	53.1
R	F18_I07	M	514	53.8
R	F18_I08	M	514	50.4
R	F18_I09	M	514	53.4
R	F18_I10	M	514	58.8
R	F18_I11	M	514	54
R	F18_I13	M	514	56.4
R	F18_I14	M	514	58.9
R	F18_I15	M	514	62.1
S	F19_I01	M	543	57.2
S	F19_I02	M	543	60.5
S	F19_I03	M	543	52.2
S	F19_I04	M	543	62.6
S	F19_I06	M	543	59.1
S	F19_I07	M	543	53
S	F19_I10	M	543	54.6
S	F19_I11	M	543	61.7
S	F19_I12	M	543	56.7
S	F19_I13	M	543	58
S	F19_I14	M	543	61.5
S	F19_I15	M	543	64.8
T	F20_I01	M	543	62.3
T	F20_I02	M	543	58.6
T	F20_I04	M	543	61.2
T	F20_I05	M	543	54.5
T	F20_I06	M	543	59.8
T	F20_I07	M	543	61.8
T	F20_I08	M	543	60.1
T	F20_I09	M	543	58
T	F20_I10	M	543	62.4
T	F20_I12	M	543	53.7
T	F20_I13	M	543	60.1
T	F20_I15	M	543	59.7
U	F21_I01	M	424	56.7
U	F21_I02	M	424	59.1
U	F21_I03	M	424	54.7
U	F21_I04	M	424	55.4
U	F21_I07	M	424	59
U	F21_I08	M	424	49.6
U	F21_I09	M	424	58.4
U	F21_I10	M	424	59.4
U	F21_I11	M	424	58.6
U	F21_I13	M	424	59
U	F21_I14	M	424	51.4
U	F21_I15	M	424	58.8
V	F22_I01	M	525	52.4
V	F22_I03	M	525	54.4
V	F22_I04	M	525	60.4
V	F22_I05	M	525	56.7
V	F22_I06	M	525	55.6
V	F22_I07	M	525	54.7
V	F22_I08	M	525	60.3
V	F22_I09	M	525	58.4
V	F22_I11	M	525	58.6
V	F22_I12	M	525	61.3
V	F22_I13	M	525	65.9
V	F22_I15	M	525	57.8
V	F23_I01	M	395	60.2
W	F23_I03	M	395	62.7
W	F23_I04	M	395	58.4
W	F23_I06	M	395	63.7
W	F23_I07	M	395	68.7
W	F23_I08	M	395	68.2
W	F23_I09	M	395	65.3
W	F23_I11	M	395	69.1
W	F23_I12	M	395	58.3
W	F23_I13	M	395	62.6
W	F23_I14	M	395	58.3
W	F23_I15	M	395	57.2
X	F24_I01	M	543	52.2
X	F24_I02	M	543	51.6
X	F24_I03	M	543	56.6
X	F24_I04	M	543	55.7
X	F24_I05	M	543	62.8
X	F24_I07	M	543	57.7
X	F24_I09	M	543	50.2
X	F24_I10	M	543	61.9
X	F24_I11	M	543	55.3
X	F24_I13	M	543	58.6
X	F24_I14	M	543	56.9
X	F24_I15	M	543	53
Y	F26_I01	M	466	63.4
Y	F26_I02	M	466	58.4
Y	F26_I03	M	466	70.1
Y	F26_I05	M	466	68.5
Y	F26_I06	M	466	65.1
Y	F26_I07	M	466	50.7
Y	F26_I08	M	466	64.5
Y	F26_I09	M	466	66.7
Y	F26_I11	M	466	60.2
Y	F26_I12	M	466	61.3
Y	F26_I13	M	466	62.7
Y	F26_I14	M	466	66.5
Z	F27_I01	M	496	62.3
Z	F27_I02	M	496	65.2
Z	F27_I04	M	496	65.6
Z	F27_I05	M	496	67.3
Z	F27_I07	M	496	61.8
Z	F27_I08	M	496	76.1
Z	F27_I09	M	496	70.7
Z	F27_I10	M	496	60.6
Z	F27_I11	M	496	54.7
Z	F27_I12	M	496	56.8
Z	F27_I14	M	496	61.3
Z	F27_I15	M	496	66.6
ZZ	F28_I01	M	531	50.2
ZZ	F28_I02	M	531	44.4
ZZ	F28_I03	M	531	45.3
ZZ	F28_I04	M	531	55
ZZ	F28_I05	M	531	54.7
ZZ	F28_I07	M	531	45.9
ZZ	F28_I08	M	531	46.8
ZZ	F28_I09	M	531	48
ZZ	F28_I10	M	531	55.4
ZZ	F28_I11	M	531	48.5
ZZ	F28_I12	M	531	51.5
ZZ	F28_I14	M	531	54.3
